index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
38,20b,82734.62226390839,75.68469999999999,280147.8373,362882.4927040909,706210.9602429627,0,101605.33661842346,0.0,282378.5023212433,383984.37004089355,721791.899728775,4,-2230.6650212432723,-1.01,False
39,19c,80949.87778663635,115.76050000000001,3732.5198000000005,84682.43072681884,706210.9602429627,0,93449.60231781006,0.0,5944.807481765747,99394.94090080261,721791.899728775,4,-2212.2876817657466,-1.59,False
40,22a,85827.51471996307,178.4495,4151.3216,89978.86946014556,706210.9602429627,0,102771.23374938965,0.0,6061.719703674316,108833.48455429077,721791.899728775,4,-1910.3981036743162,-1.46,False
41,6c,97.4172830581665,238.8819,3920.7977,4018.2481232406617,706210.9602429627,0,51.787424087524414,0.0,5763.5910987854,5815.909624099731,721791.899728775,4,-1842.7933987854003,-1.47,False
42,31b,95813.2162809372,256.6949,2631.2877,98444.53712111969,706210.9602429627,0,112064.00098800659,0.0,4464.379453659058,116528.91154289246,721791.899728775,4,-1833.0917536590578,-1.7,False
43,2d,33.130764961242676,229.32600000000002,52439.6834,52472.84730514374,706210.9602429627,0,2.4202823638916016,0.0,54096.28882408142,54099.24020767212,721791.899728775,4,-1656.6054240814192,-1.03,False
44,1a,0.0,226.05630000000002,13307.708799999999,13307.741940182494,706210.9602429627,0,1.1298656463623047,0.0,14586.35287284851,14588.01383972168,721791.899728775,4,-1278.6440728485122,-1.1,False
45,22b,86153.16135883331,175.8607,3243.511,89396.7054990158,706210.9602429627,0,103265.21677970886,0.0,4520.727109909058,107786.47499084473,721791.899728775,4,-1277.2161099090576,-1.39,False
46,2c,28.713202476501465,228.8462,52360.8177,52389.564042658996,706210.9602429627,0,0.7251739501953125,0.0,53604.94575500488,53606.202030181885,721791.899728775,4,-1244.1280550048832,-1.02,False
47,2b,25.27027130126953,229.06599999999997,52363.505099999995,52388.80851148376,706210.9602429627,0,0.7949352264404297,0.0,53606.44783973694,53607.773876190186,721791.899728775,4,-1242.9427397369436,-1.02,False
48,2a,23.564839363098145,229.1071,52365.1426,52388.74057954559,706210.9602429627,0,0.7093906402587891,0.0,53604.81781959534,53606.0583114624,721791.899728775,4,-1239.6752195953377,-1.02,False
49,30a,93503.52466106415,298.591,6397.962799999999,99901.52060124665,706210.9602429627,0,109449.75776672363,0.0,7591.881322860718,117042.17019081116,721791.899728775,4,-1193.9185228607184,-1.19,False
50,1c,6.627774238586426,225.8255,13182.065400000001,13188.726314421083,706210.9602429627,0,0.04119873046875,0.0,14359.823560714722,14360.395860671997,721791.899728775,4,-1177.7581607147204,-1.09,False
51,23a,86483.36894512177,175.4496,820.406,87303.80808530425,706210.9602429627,0,104288.57593536377,0.0,1880.9320449829102,106170.03908157349,721791.899728775,4,-1060.5260449829102,-2.29,False
52,25b,87462.23170757294,46.4957,7772.7352,95235.00004775543,706210.9602429627,0,106203.50694656372,0.0,8813.781070709229,115017.81911849976,721791.899728775,4,-1041.0458707092284,-1.13,False
53,22c,86405.0354719162,181.8827,11094.6626,97499.7312120987,706210.9602429627,0,103324.58682060242,0.0,12121.844482421875,115446.9624042511,721791.899728775,4,-1027.1818824218753,-1.09,False
54,15b,54036.13996505737,183.3628,8514.372599999999,62550.54570523987,706210.9602429627,0,66359.69767570496,0.0,9432.04255104065,75792.27132797241,721791.899728775,4,-917.6699510406506,-1.11,False
